SETTLEMENTDATE,RRP,DAYTYPE,MONTH,HOUR,YEAR,DAY
2022-01-08 21:00,71.75833333,0,1,22,2022,8
2022-01-08 22:00,77.8275,0,1,23,2022,8
2022-01-08 23:00,88.08833333,0,1,24,2022,8
2022-01-09 00:00,80.47916667,0,1,1,2022,9
2022-01-09 01:00,77.50416667,0,1,2,2022,9
2022-01-09 02:00,80.65083333,0,1,3,2022,9
2022-01-09 03:00,89.5175,0,1,4,2022,9
2022-01-09 04:00,81.55333333,0,1,5,2022,9
2022-01-09 05:00,81.6075,0,1,6,2022,9
2022-01-09 06:00,63.59916667,0,1,7,2022,9
2022-01-09 07:00,34.94083333,0,1,8,2022,9
2022-01-09 08:00,67.6125,0,1,9,2022,9
2022-01-09 09:00,78.10666667,0,1,10,2022,9
2022-01-09 10:00,77.62583333,0,1,11,2022,9
2022-01-09 11:00,75.9875,0,1,12,2022,9
2022-01-09 12:00,70.17416667,0,1,13,2022,9
2022-01-09 13:00,60.49916667,0,1,14,2022,9
2022-01-09 14:00,51.84083333,0,1,15,2022,9
2022-01-09 15:00,75.16,0,1,16,2022,9
2022-01-09 16:00,67.745,0,1,17,2022,9
2022-01-09 17:00,79.0075,0,1,18,2022,9
2022-01-09 18:00,98.385,0,1,19,2022,9
2022-01-09 19:00,103.2858333,0,1,20,2022,9
2022-01-09 20:00,81.96583333,0,1,21,2022,9
2022-01-09 21:00,82.70833333,0,1,22,2022,9
2022-01-09 22:00,95.1075,0,1,23,2022,9
2022-01-09 23:00,83.38416667,0,1,24,2022,9
2022-01-10 00:00,80.37583333,1,1,1,2022,10
2022-01-10 01:00,75.3725,1,1,2,2022,10
2022-01-10 02:00,68.3525,1,1,3,2022,10
2022-01-10 03:00,68.4725,1,1,4,2022,10
2022-01-10 04:00,79.1425,1,1,5,2022,10
2022-01-10 05:00,90.75416667,1,1,6,2022,10
2022-01-10 06:00,80.89833333,1,1,7,2022,10
2022-01-10 07:00,81.295,1,1,8,2022,10
2022-01-10 08:00,83.66166667,1,1,9,2022,10
2022-01-10 09:00,81.41,1,1,10,2022,10
2022-01-10 10:00,80.57583333,1,1,11,2022,10
2022-01-10 11:00,80.37666667,1,1,12,2022,10
2022-01-10 12:00,73.115,1,1,13,2022,10
2022-01-10 13:00,87.54916667,1,1,14,2022,10
2022-01-10 14:00,93.8775,1,1,15,2022,10
2022-01-10 15:00,104.3166667,1,1,16,2022,10
2022-01-10 16:00,95.82333333,1,1,17,2022,10
2022-01-10 17:00,96.29083333,1,1,18,2022,10
2022-01-10 18:00,85.68083333,1,1,19,2022,10
2022-01-10 19:00,94.275,1,1,20,2022,10
2022-01-10 20:00,83.29916667,1,1,21,2022,10
2022-01-10 21:00,87.64166667,1,1,22,2022,10
2022-01-10 22:00,81.50916667,1,1,23,2022,10
2022-01-10 23:00,76.7275,1,1,24,2022,10
2022-01-11 00:00,83.00166667,1,1,1,2022,11
2022-01-11 01:00,81.2475,1,1,2,2022,11
2022-01-11 02:00,80.88,1,1,3,2022,11
2022-01-11 03:00,82.64583333,1,1,4,2022,11
2022-01-11 04:00,85.84416667,1,1,5,2022,11
2022-01-11 05:00,92.895,1,1,6,2022,11
2022-01-11 06:00,84.29,1,1,7,2022,11
2022-01-11 07:00,92.4975,1,1,8,2022,11
2022-01-11 08:00,82.58833333,1,1,9,2022,11
2022-01-11 09:00,97.88583333,1,1,10,2022,11
2022-01-11 10:00,118.6275,1,1,11,2022,11
2022-01-11 11:00,129.0025,1,1,12,2022,11
2022-01-11 12:00,101.7216667,1,1,13,2022,11
2022-01-11 13:00,75.70666667,1,1,14,2022,11
2022-01-11 14:00,79.25,1,1,15,2022,11
2022-01-11 15:00,90.90666667,1,1,16,2022,11
2022-01-11 16:00,79.98333333,1,1,17,2022,11
2022-01-11 17:00,68.75083333,1,1,18,2022,11
2022-01-11 18:00,83.93916667,1,1,19,2022,11
2022-01-11 19:00,91.555,1,1,20,2022,11
2022-01-11 20:00,87.035,1,1,21,2022,11
2022-01-11 21:00,80.76333333,1,1,22,2022,11
2022-01-11 22:00,78.4125,1,1,23,2022,11
2022-01-11 23:00,77.88916667,1,1,24,2022,11
2022-01-12 00:00,78.5225,1,1,1,2022,12
2022-01-12 01:00,80.86416667,1,1,2,2022,12
2022-01-12 02:00,77.135,1,1,3,2022,12
2022-01-12 03:00,76.6,1,1,4,2022,12
2022-01-12 04:00,80.61083333,1,1,5,2022,12
2022-01-12 05:00,91.38333333,1,1,6,2022,12
2022-01-12 06:00,87.29916667,1,1,7,2022,12
2022-01-12 07:00,67.32666667,1,1,8,2022,12
2022-01-12 08:00,62.52666667,1,1,9,2022,12
2022-01-12 09:00,72.69333333,1,1,10,2022,12
2022-01-12 10:00,73.58333333,1,1,11,2022,12
2022-01-12 11:00,100.5383333,1,1,12,2022,12
2022-01-12 12:00,83.475,1,1,13,2022,12
2022-01-12 13:00,79.79666667,1,1,14,2022,12
2022-01-12 14:00,75.4475,1,1,15,2022,12
2022-01-12 15:00,84.39416667,1,1,16,2022,12
2022-01-12 16:00,88.81916667,1,1,17,2022,12
2022-01-12 17:00,77.69666667,1,1,18,2022,12
2022-01-12 18:00,79.52833333,1,1,19,2022,12
2022-01-12 19:00,91.28416667,1,1,20,2022,12
2022-01-12 20:00,95.65,1,1,21,2022,12
2022-01-12 21:00,84.73916667,1,1,22,2022,12
2022-01-12 22:00,87.0425,1,1,23,2022,12
2022-01-12 23:00,78.84083333,1,1,24,2022,12
2022-01-13 00:00,75.87583333,1,1,1,2022,13
2022-01-13 01:00,78.74083333,1,1,2,2022,13
2022-01-13 02:00,76.36833333,1,1,3,2022,13
2022-01-13 03:00,74.82583333,1,1,4,2022,13
2022-01-13 04:00,86.2675,1,1,5,2022,13
2022-01-13 05:00,90.36083333,1,1,6,2022,13
2022-01-13 06:00,74.33833333,1,1,7,2022,13
2022-01-13 07:00,68.38416667,1,1,8,2022,13
2022-01-13 08:00,80.53166667,1,1,9,2022,13
2022-01-13 09:00,75.99166667,1,1,10,2022,13
2022-01-13 10:00,77.595,1,1,11,2022,13
2022-01-13 11:00,77.185,1,1,12,2022,13
2022-01-13 12:00,92.56833333,1,1,13,2022,13
2022-01-13 13:00,65.8425,1,1,14,2022,13
2022-01-13 14:00,69.6975,1,1,15,2022,13
2022-01-13 15:00,81.34416667,1,1,16,2022,13
2022-01-13 16:00,82.99333333,1,1,17,2022,13
2022-01-13 17:00,82.36416667,1,1,18,2022,13
2022-01-13 18:00,82.24583333,1,1,19,2022,13
2022-01-13 19:00,90.46083333,1,1,20,2022,13
2022-01-13 20:00,79.53916667,1,1,21,2022,13
2022-01-13 21:00,79.75666667,1,1,22,2022,13
2022-01-13 22:00,82.4375,1,1,23,2022,13
2022-01-13 23:00,79.51583333,1,1,24,2022,13
2022-01-14 00:00,74.6775,1,1,1,2022,14
2022-01-14 01:00,75.95833333,1,1,2,2022,14
2022-01-14 02:00,68.12416667,1,1,3,2022,14
2022-01-14 03:00,64.9,1,1,4,2022,14
2022-01-14 04:00,66.71916667,1,1,5,2022,14
2022-01-14 05:00,75.75,1,1,6,2022,14
2022-01-14 06:00,72.09083333,1,1,7,2022,14
2022-01-14 07:00,67.48166667,1,1,8,2022,14
2022-01-14 08:00,73.3025,1,1,9,2022,14
2022-01-14 09:00,72.1475,1,1,10,2022,14
2022-01-14 10:00,69.12833333,1,1,11,2022,14
2022-01-14 11:00,68.38166667,1,1,12,2022,14
2022-01-14 12:00,83.23333333,1,1,13,2022,14
2022-01-14 13:00,78.99416667,1,1,14,2022,14
2022-01-14 14:00,89.94333333,1,1,15,2022,14
2022-01-14 15:00,92.74583333,1,1,16,2022,14
2022-01-14 16:00,79.48416667,1,1,17,2022,14
2022-01-14 17:00,74.06583333,1,1,18,2022,14
2022-01-14 18:00,120.1541667,1,1,19,2022,14
2022-01-14 19:00,127.1616667,1,1,20,2022,14
2022-01-14 20:00,79.975,1,1,21,2022,14
2022-01-14 21:00,73.61833333,1,1,22,2022,14
2022-01-14 22:00,78.66083333,1,1,23,2022,14
2022-01-14 23:00,84.47166667,1,1,24,2022,14
2022-01-15 00:00,77.41583333,0,1,1,2022,15
2022-01-15 01:00,73.1775,0,1,2,2022,15
2022-01-15 02:00,70.425,0,1,3,2022,15
2022-01-15 03:00,73.61416667,0,1,4,2022,15
2022-01-15 04:00,76.89416667,0,1,5,2022,15
2022-01-15 05:00,75.88416667,0,1,6,2022,15
2022-01-15 06:00,48.79083333,0,1,7,2022,15
2022-01-15 07:00,23.4625,0,1,8,2022,15
2022-01-15 08:00,22.565,0,1,9,2022,15
2022-01-15 09:00,34.5375,0,1,10,2022,15
2022-01-15 10:00,49.16666667,0,1,11,2022,15
2022-01-15 11:00,72.85333333,0,1,12,2022,15
2022-01-15 12:00,65.12583333,0,1,13,2022,15
2022-01-15 13:00,69.71,0,1,14,2022,15
2022-01-15 14:00,71.97083333,0,1,15,2022,15
2022-01-15 15:00,77.0675,0,1,16,2022,15
2022-01-15 16:00,77.25333333,0,1,17,2022,15
2022-01-15 17:00,81.61416667,0,1,18,2022,15
2022-01-15 18:00,100.5741667,0,1,19,2022,15
2022-01-15 19:00,158.1466667,0,1,20,2022,15
2022-01-15 20:00,87.91833333,0,1,21,2022,15
2022-01-15 21:00,76.10666667,0,1,22,2022,15
2022-01-15 22:00,77.04083333,0,1,23,2022,15
2022-01-15 23:00,73.94583333,0,1,24,2022,15
2022-01-16 00:00,75.32,0,1,1,2022,16
2022-01-16 01:00,72.23333333,0,1,2,2022,16
2022-01-16 02:00,66.2175,0,1,3,2022,16
2022-01-16 03:00,64.95166667,0,1,4,2022,16
2022-01-16 04:00,65.6075,0,1,5,2022,16
2022-01-16 05:00,65.49083333,0,1,6,2022,16
